fold,repeat,feature,feature_type,delta_auc,delta_accuracy,delta_brier
2,7,Jx,Kinematic,-0.020979020979020935,0.04166666666666663,0.001028304620923598
2,7,Jy,Kinematic,1.1102230246251565e-16,0.04166666666666663,0.010088962603954366
2,7,Age,Demographic,0.0,0.0,-7.618199516543078e-06
2,7,Gender,Demographic,0.0,0.0,0.003967090792816319
2,8,X,Kinematic,-0.013986013986013957,0.08333333333333337,0.0660539188063865
2,8,Y,Kinematic,0.2027972027972027,0.16666666666666663,0.1247390002696856
2,8,Pressure,Kinematic,-0.027972027972027913,0.04166666666666663,0.014934839939222344
2,8,Azimuth,Kinematic,0.006993006993006978,0.0,0.014760387508344852
2,8,Tilt,Kinematic,0.013986013986013957,0.0,-0.023073424096353767
2,8,PenStatus,Kinematic,-0.013986013986013845,0.0,-0.0002530870748770203
2,8,Vx,Kinematic,0.034965034965035,0.08333333333333337,0.034258444855475495
2,8,Vy,Kinematic,0.04195804195804209,0.04166666666666663,0.008704446478461386
2,8,Ax,Kinematic,0.006993006993006978,0.04166666666666663,0.0075750516573373505
2,8,Ay,Kinematic,-0.013986013986013845,0.04166666666666663,-0.0046361536790570645
2,8,Jx,Kinematic,-0.03496503496503489,0.04166666666666663,-0.021863588139401202
2,8,Jy,Kinematic,-0.013986013986013845,0.04166666666666663,-0.003703883894372581
2,8,Age,Demographic,0.0,0.0,-0.0003684392821741711
2,8,Gender,Demographic,0.006993006993006978,0.0,0.00019487973904763756
3,1,X,Kinematic,0.006993006993006867,0.0,-0.0007621637926825686
3,1,Y,Kinematic,0.11888111888111863,0.08333333333333337,0.0811646859078702
3,1,Pressure,Kinematic,0.013986013986013845,0.08333333333333337,0.012319790487274052
3,1,Azimuth,Kinematic,0.006993006993006756,-0.08333333333333337,-0.03788272195649331
3,1,Tilt,Kinematic,0.0,0.0,0.004920492852124189
3,1,PenStatus,Kinematic,0.006993006993006867,0.0,0.0017243821437897544
3,1,Vx,Kinematic,-0.013986013986014179,-0.04166666666666663,-0.02182468893388642
3,1,Vy,Kinematic,0.03496503496503478,0.08333333333333337,0.04260834078372307
3,1,Ax,Kinematic,0.006993006993006867,0.0,4.5428618946505295e-05
3,1,Ay,Kinematic,-0.006993006993007089,0.0,-0.010746011729319119
3,1,Jx,Kinematic,0.006993006993006867,0.0,0.0015979734562862336
3,1,Jy,Kinematic,-1.1102230246251565e-16,0.0,0.008933100911836786
3,1,Age,Demographic,0.0,0.0,0.00017941398865654878
3,1,Gender,Demographic,0.0,0.0,-0.0016417753375873867
3,2,X,Kinematic,0.027972027972027802,0.08333333333333337,0.03563465625407018
3,2,Y,Kinematic,0.10489510489510478,0.125,0.09797394925669407
3,2,Pressure,Kinematic,0.020979020979020824,0.04166666666666663,0.017414850799018125
3,2,Azimuth,Kinematic,-0.027972027972028135,-0.04166666666666663,-0.01838815298628632
3,2,Tilt,Kinematic,0.0,0.0,0.006847884494450007
3,2,PenStatus,Kinematic,-0.006993006993007089,0.0,-0.006232215876616223
3,2,Vx,Kinematic,-0.006993006993007089,-0.04166666666666663,-0.009952862039395521
3,2,Vy,Kinematic,-0.006993006993007089,0.04166666666666663,-0.0035926798410776534
3,2,Ax,Kinematic,0.006993006993006867,0.04166666666666663,-0.00045987630914141875
3,2,Ay,Kinematic,0.006993006993006867,0.0,0.0025703748195379655
3,2,Jx,Kinematic,0.006993006993006867,0.0,0.005607289748666838
3,2,Jy,Kinematic,0.013986013986013845,0.04166666666666663,0.024931574540166937
3,2,Age,Demographic,0.0,0.0,0.0007600059685954619
3,2,Gender,Demographic,0.0,0.0,-0.0014149834135410294
3,3,X,Kinematic,-1.1102230246251565e-16,-0.04166666666666663,-0.026650315593283874
3,3,Y,Kinematic,0.1608391608391606,0.08333333333333337,0.10178322385127993
3,3,Pressure,Kinematic,0.020979020979020824,0.04166666666666663,0.009616902411180406
3,3,Azimuth,Kinematic,0.0,0.0,-0.0006868382765443798
3,3,Tilt,Kinematic,0.0,0.0,0.0020908943807385616
3,3,PenStatus,Kinematic,-0.013986013986014068,0.0,-0.012762158540538637
3,3,Vx,Kinematic,0.006993006993006867,0.0,0.0058499255354425295
3,3,Vy,Kinematic,0.0629370629370627,0.08333333333333337,0.04598909363044658
3,3,Ax,Kinematic,0.006993006993006867,0.0,0.007332589640557136
3,3,Ay,Kinematic,0.006993006993006867,0.04166666666666663,0.008812366458605378
3,3,Jx,Kinematic,-0.006993006993007089,-0.04166666666666663,-0.012276313470492628
3,3,Jy,Kinematic,0.006993006993006867,0.04166666666666663,0.02068233246505312
3,3,Age,Demographic,0.0,0.0,6.472145942830465e-05
3,3,Gender,Demographic,0.0,0.0,-4.4853029431538016e-05
3,4,X,Kinematic,0.027972027972027802,0.08333333333333337,0.013724488454215297
3,4,Y,Kinematic,0.15384615384615363,0.08333333333333337,0.10559278929597056
3,4,Pressure,Kinematic,0.020979020979020824,0.08333333333333337,0.017573426642276305
3,4,Azimuth,Kinematic,-0.013986013986014179,-0.04166666666666663,-0.022339119648102715
3,4,Tilt,Kinematic,0.0,0.0,0.0015599274819534381
3,4,PenStatus,Kinematic,-0.006993006993007089,0.0,-0.002533865248725592
3,4,Vx,Kinematic,-0.013986013986014179,-0.04166666666666663,-0.030081742594614436
3,4,Vy,Kinematic,0.006993006993006867,0.0,-0.002789205127752506
3,4,Ax,Kinematic,0.006993006993006867,0.0,0.0017128709125039249
3,4,Ay,Kinematic,0.0,0.0,-0.009872883785156439
3,4,Jx,Kinematic,0.013986013986013845,0.04166666666666663,0.010227411550967513
3,4,Jy,Kinematic,-0.006993006993007089,0.04166666666666663,0.011075427556889533
3,4,Age,Demographic,0.0,0.0,0.0004625259083239075
3,4,Gender,Demographic,0.0,0.0,0.000800450210625081
3,5,X,Kinematic,0.006993006993006867,0.0,-0.004482408075021094
3,5,Y,Kinematic,0.1328671328671327,0.125,0.11522361131733076
3,5,Pressure,Kinematic,0.020979020979020824,0.04166666666666663,0.013827205937479256
3,5,Azimuth,Kinematic,0.0,0.0,0.012064243452037438
3,5,Tilt,Kinematic,0.0,0.0,0.0038006412869067557
3,5,PenStatus,Kinematic,-1.1102230246251565e-16,0.0,-0.009677364043846115
3,5,Vx,Kinematic,-0.006993006993007089,0.04166666666666663,0.006100893627957446
3,5,Vy,Kinematic,0.013986013986013845,0.0,-0.004595658366270461
